"Company Name","Website","HQ Country","Industry / Market","Employee Count","Last Funding Stage","Last Funding Amount","Last Funding Date","Total Funding","Key Investors","HQ Countries","Team Countries","Intl Hiring (Countries)","Open Jobs (Last 3 Mo)","Remote Hiring %","Hiring Keywords","Data Source","Targeting Rationale (AGS Context)","CHROs","Director + HR","All C-Suite","Update People Search (Find people Table) - 2026-06-03T21:47:33.031Z","Update People Search (Find people Table) - 2026-06-04T14:41:11.370Z","Update People Search (Find people Table) - 2026-06-04T17:32:01.701Z","Update People Search (Find people Table) - 2026-06-05T19:59:24.770Z"
"Mecademic Industrial Robotics","mecademic.com","Canada","Manufacturing;Robotics",54,"Venture - Series UNKNOWN","$15M","2026-02-18","$15M","Business Development Bank of Canada;Centech;Export Development Canada;Investissement Quebec","Canada","Canada;United States;Brazil;France;Hong Kong;Italy",,36,"75%","remote","GoodFit","Recent funding: $15M Venture - Series UNKNOWN (2026-02-18) | 36 open roles (last 3 mo) | 75% remote hiring | Source: GoodFit",,,,,,,
"Medable","medable.com","United States","Clinical Trials;Health Care;Medical Device;Messaging;Pharmaceutical",351,"Series D","$304M","2021-10-26","$507M","Blackstone Accelerates Growth;GSR Ventures;HealthX Ventures;Launchpad Digital Health;Obvious Ventures;PPD clinical research business of Thermo Fisher Scientific;Sapphire Ventures;Streamlined;Western Technology Investment","United States","United States;United Kingdom;India;United Arab Emirates;Argentina;Ireland;Croatia;Canada;Germany;Spain;Bulgaria;Denmark;Netherlands;Brazil;Chile;China;Colombia;Ghana;Greece;Japan;Puerto Rico;Turkey",3,48,"69%","remote;global team","GoodFit","Recent funding: $304M Series D (2021-10-26) | Hiring in 3 countries outside HQ | 48 open roles (last 3 mo) | 69% remote hiring | Source: GoodFit",,,,,,,
"Mira","miracare.com","United States","Artificial Intelligence (AI);Fertility;Hardware;Health Care;Internet of Things;Medical Device;mHealth",171,"Venture - Series UNKNOWN","$2M","2017-09-01","$4M","CSC Upshot","United States","United States;India;Poland;Spain;United Kingdom;Canada;Georgia;Netherlands;Belarus;Cameroon;China;Italy;Turkey;Ukraine;Angola;Argentina;Bangladesh;Belgium;Brazil;Czechia;Egypt;Finland;France;Hong Kong;Iraq;Israel;Kosovo;Lithuania;Malta;Mexico;Nigeria;Philippines;Romania;South Africa",4,47,"100%","remote;fully remote","GoodFit","Recent funding: $2M Venture - Series UNKNOWN (2017-09-01) | Hiring in 4 countries outside HQ | 47 open roles (last 3 mo) | 100% remote hiring | Source: GoodFit",,,,,,,
"Momo Medical","momomedical.com","Netherlands","Health Care;Hospital;Medical Device;Sensor",136,"Venture - Series UNKNOWN","$9M","2024-09-16","$9M","AWS Healthcare Accelerator;FundiQare;PROTOCOL — by GETTYLAB;Y Combinator","Netherlands","Netherlands;Germany;United States;Canada;India;United Kingdom",2,39,"9%","remote","GoodFit","Recent funding: $9M Venture - Series UNKNOWN (2024-09-16) | Hiring in 2 countries outside HQ | 39 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Mythic","mythic.ai","United States","AI Infrastructure;Artificial Intelligence (AI);Computer Vision;Machine Learning;Semiconductor;Software Engineering",80,"Series D","$125M","2025-12-17","$290M","Atreides Management;BlackRock;Catapult Ventures;DCVC;Future Ventures;Hewlett Packard Enterprise;Infinitum;Linse Capital;Lockheed Martin Ventures;Lux Capital;One Madison Group;SBVA;SoftBank Group;Threshold;UDC Ventures;Valor Equity Partners","Canada;United States","United States;India;Canada;Belgium;France;Singapore;South Korea",1,28,"","","GoodFit","Recent funding: $125M Series D (2025-12-17) | Hiring in 1 countries outside HQ | 28 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Onera Health","onerahealth.com","Netherlands","Health Care;Health Diagnostics;Medical;Medical Device;Nanotechnology;Wearables",69,"Series C","$33M","2024-01-16","$57M","15th Rock;BOM;EQT Life Sciences;European Innovation Council;Eurostars;Gimv;Innovation Industries;Invest-NL;Jazz Pharmaceuticals;imec.xpand","Netherlands;United States","Netherlands;United States;Germany;Belgium;United Kingdom;Andorra;France;Greece;India;Ireland;Romania",1,10,"100%","remote","GoodFit","Recent funding: $33M Series C (2024-01-16) | Hiring in 1 countries outside HQ | 10 open roles (last 3 mo) | 100% remote hiring | Source: GoodFit",,,,,,,
"OrganOx","organox.com","United Kingdom","Health Care;Medical;Medical Device",224,"Venture - Series UNKNOWN","$160M","2025-02-24","$207M","Avidity Partners;Business Growth Fund;HealthQuest Capital;Intuitive Ventures;Lauxera Capital Partners;Oxford Technology Management;Piper Heartland Healthcare Capital;Sofina;Soleus Capital;Technikos;Terumo Ventures","United Kingdom","United Kingdom;United States;France;Germany;Japan;South Africa;Switzerland",1,44,"40%","remote;global team","GoodFit","Recent funding: $160M Venture - Series UNKNOWN (2025-02-24) | Hiring in 1 countries outside HQ | 44 open roles (last 3 mo) | 40% remote hiring | Source: GoodFit",,,,,,,
"Parse Biosciences","parsebiosciences.com","United States","Bioinformatics;Biotechnology;Genetics;Life Science",130,"Series C","$50M","2023-12-14","$100M","Bioeconomy Capital;Horizon Technology Finance;Janus Henderson Investors;Logos Capital;Marshall Wace;National Science Foundation;Sahsen Ventures;Saras Capital;Soleus Capital","United States","United States;United Kingdom;Austria;France;India;Iran;Spain;Sweden;Argentina;Belgium;Germany;Italy;Lithuania;Singapore",6,20,"93%","remote","GoodFit","Recent funding: $50M Series C (2023-12-14) | Hiring in 6 countries outside HQ | 20 open roles (last 3 mo) | 93% remote hiring | Source: GoodFit",,,,,,,
"Percepto","percepto.co","United States","Drones;Enterprise;Industrial Automation;Robotics;Software",180,"Venture - Series UNKNOWN","","2026-04-28","$140M","Arkin Holdings;Atento Capital;Benhamou Global Ventures;Delek Group;Federal Aviation Administration;Koch Disruptive Technologies;Spider Capital;State of Mind Ventures;U.S. Venture Partners;Zimmer Lucas Partners","Israel;United States","Israel;United States;Brazil;Colombia;Portugal",1,30,"11%","remote;global team","GoodFit","Recent funding:  Venture - Series UNKNOWN (2026-04-28) | Hiring in 1 countries outside HQ | 30 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Phagenesis","phagenesis.com","United Kingdom","Biotechnology;Health Care;Medical;Neuroscience",79,"Series D","$42M","2024-03-04","$71M","Aphelion Capital;British Patient Capital;EQT Life Sciences;Inventages Venture Capital Investment Inc.;MedTech Innovator;Northern Gritstone;Sectoral Asset Management","United Kingdom","United States;United Kingdom;Germany;Austria;Switzerland",1,16,"46%","remote;global team","GoodFit","Recent funding: $42M Series D (2024-03-04) | Hiring in 1 countries outside HQ | 16 open roles (last 3 mo) | 46% remote hiring | Source: GoodFit",,,,,,,
"Point One Navigation","pointonenav.com","United States","Automotive;Autonomous Vehicles;Industrial Automation;Robotics",55,"Series C","$35M","2025-11-20","$45M","Alumni Ventures;Bolt;Ethos Family Office;IA Ventures;Khosla Ventures;Team Builder Ventures;UP Partners","United States","United States;France;Japan;Switzerland",1,22,"28%","remote","GoodFit","Recent funding: $35M Series C (2025-11-20) | Hiring in 1 countries outside HQ | 22 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"QCraft AI","qcraft.ai","United States","Artificial Intelligence (AI);Automotive;Autonomous Vehicles",120,"Series D","$100M","2026-03-23","$338M","Broad Vision Funds;Chery Automobile;Genesis Capital;Guoding Capital;Huade Science and Technology;IDG Capital;LUXSHARE-ICT;Lenovo Capital and Incubator Group (LCIG);Ningbo Ninghai Xingtaihe Fund;Wonderland Capital;YF Capital;Zhongguancun Science City Science;Zhulu Juhang Fund","China;United States","China;United States;Hong Kong;Canada;Germany;Singapore;United Kingdom",1,14,"","","GoodFit","Recent funding: $100M Series D (2026-03-23) | Hiring in 1 countries outside HQ | 14 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Quadric","quadric.ai","United States","Artificial Intelligence (AI);Computer;Semiconductor;Software",65,"Series C","$30M","2026-01-14","$74M","BEENEXT;Denso;Gentree Fund;MESH;NSITEXE;Pear VC;Pivotal Corporation;Silicon Catalyst Ventures;Uncork Capital;Volta Ventures;Wanxiang America;Xerox Venture Capital","United States","United States;India;Japan;South Korea;Taiwan",3,61,"15%","remote;fully remote","GoodFit","Recent funding: $30M Series C (2026-01-14) | Hiring in 3 countries outside HQ | 61 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Quantum Machines","quantum-machines.co","United States","Quantum Computing;Semiconductor;Software;Software Engineering",302,"Series C","$170M","2025-02-25","$263M","Avigdor Willenz;Battery Ventures;Harel Insurance and Financial;Intel Capital;Meron Capital;OurCrowd;PSG Equity;Qualcomm Ventures;Red Dot Capital Partners;TLV Partners;Union Tech Ventures","Israel;United States","Israel;Denmark;Germany;United States;France;Singapore;India;Netherlands;South Korea;United Kingdom;Japan;Switzerland;Australia;Austria;Canada;Italy;Poland;Serbia;Slovenia;Spain;Taiwan;Ukraine",8,64,"13%","remote;global team","GoodFit","Recent funding: $170M Series C (2025-02-25) | Hiring in 8 countries outside HQ | 64 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Robotiq","robotiq.com","Canada","Automotive;Industrial Automation;Robotics",163,"Venture - Series UNKNOWN","$23M","2018-12-11","$23M","Battery Ventures","Canada","Canada;United States;France;Germany;India;Taiwan;China;Indonesia;Mexico;Netherlands;South Korea;Belgium;Brazil;Czechia;Egypt;Greece;Italy;Kenya;Malaysia;Poland;Spain;Switzerland;United Kingdom",2,23,"","","GoodFit","Recent funding: $23M Venture - Series UNKNOWN (2018-12-11) | Hiring in 2 countries outside HQ | 23 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Rocoto","amimon.com","United States","Semiconductor;Video;Wireless",69,"Venture - Series UNKNOWN","$4M","2015-06-11","$50M","Argonaut Private Equity;Argonaut Ventures;Cedar Fund;Evergreen Pacific Partners;Evergreen Venture Partners;Motorola Solutions Venture Capital;Stata Venture Partners (SVP);Walden Israel Venture Capital","United States","Israel;United States;China;Canada;Germany;Japan;Serbia;Sweden;Taiwan",3,7,"20%","remote","GoodFit","Recent funding: $4M Venture - Series UNKNOWN (2015-06-11) | Hiring in 3 countries outside HQ | 7 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Salvia BioElectronics","salviabioelectronics.com","Netherlands","Biotechnology;Medical Device;Therapeutics",76,"Series B","","2025-05-27","$0","BOM;Dolby Family Ventures;EIC Accelerator;European Innovation Council Fund;Inkef;Innovation Industries;Invest-NL;MedTech Innovator;Panakes Partners;SHS Capital;Thuja Capital","Netherlands","Netherlands;Belgium;United States;Spain;Switzerland",1,12,"25%","remote","GoodFit","Recent funding:  Series B (2025-05-27) | Hiring in 1 countries outside HQ | 12 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Shield AI","shield.ai","United States","Artificial Intelligence (AI);Autonomous Vehicles;Drones;Machine Learning;National Security",1534,"Series G","$2.0B","2026-03-26","$3.0B","Advent International;Apandion;Blackstone Group;Disruptive;Hanwha Aerospace;Hercules Capital;InnovationX;JP Morgan Chase;L3Harris Technologies;Riot Ventures;Snowpoint Ventures;US Innovative Technology Fund;Washington Harbour Partners","Australia;Norway;Taiwan;Ukraine;United Arab Emirates;United States","United States;Australia;India;United Kingdom;South Korea;Taiwan;Singapore;Norway;United Arab Emirates;Germany;Netherlands;Canada;Italy;Pakistan;Poland;South Africa;Sri Lanka;Ukraine;Argentina;Austria;Brazil;China;Czechia;France;Greece;Hong Kong;Japan;Jordan;Malaysia;Peru;Saudi Arabia;Spain;Sweden;Tanzania;Trinidad and Tobago",10,502,"2%","remote","GoodFit","Recent funding: $2.0B Series G (2026-03-26) | Hiring in 10 countries outside HQ | 502 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Simbe","simberobotics.com","United States","Artificial Intelligence (AI);Retail Technology;Robotics;Sales Automation",105,"Series C","$50M","2024-10-24","$104M","Eastward Capital Partners;Eclipse Ventures;Future Shape;Goldman Sachs Alternatives;HAX;SOSV;Valo Ventures;Venrock","United States","United States;Canada;Ireland;Mexico;Netherlands;Portugal;Turkey;United Kingdom",,21,"47%","remote","GoodFit","Recent funding: $50M Series C (2024-10-24) | 21 open roles (last 3 mo) | 47% remote hiring | Source: GoodFit",,,,,,,
"Skild AI","skild.ai","United States","Artificial Intelligence (AI);Information Technology;Robotics",93,"Series C","$1.4B","2026-01-14","$1.4B","Andra Capital;Bezos Expeditions;Coatue;IQT;Korea Investment Corp;Lightspeed Venture Partners;NVIDIA;NVentures;Salesforce Ventures;Samsung Electronics;Schneider Electric;Sequoia Capital;SoftBank;SoftBank Group","United States","United States;India;Bangladesh;Canada;Indonesia;Saudi Arabia;Singapore;United Kingdom",1,57,"1%","remote","GoodFit","Recent funding: $1.4B Series C (2026-01-14) | Hiring in 1 countries outside HQ | 57 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Skycatch","skycatch.com","United States","Artificial Intelligence (AI);Cloud Data Services;Drones;Machine Learning;Robotics;Software",42,"Series C","$25M","2021-03-21","$72M","ADB Ventures;Akkadian Ventures;Entrée Capital;Falkon Ventures;Gaingels;I2BF Global Ventures;MS&AD Ventures;Sherpalo Ventures;WND Ventures;Wavemaker Partners;Wealthing VC Club","United States","Mexico;United States;Philippines;Chile;Canada;India",2,4,"50%","remote;remote first","GoodFit","Recent funding: $25M Series C (2021-03-21) | Hiring in 2 countries outside HQ | 4 open roles (last 3 mo) | 50% remote hiring | Source: GoodFit",,,,,,,
"Skydio","skydio.com","United States","Artificial Intelligence (AI);Drone Management;Drones;Machine Learning;Robotics",989,"Series F","$110M","2026-04-23","$850M","Andreessen Horowitz;Axon;DoCoMo Capital;Gaingels;Hercules Capital;IVP;KDDI;Linse Capital;N47;Playground Global;Walton Family Foundation","United States","United States;India;Canada;Japan;United Kingdom;Switzerland;Australia;Finland;Spain;Norway;Poland;Taiwan;Bangladesh;France;Germany;Kenya;Mexico;Nigeria;Pakistan;Serbia;Thailand;U.S. Outlying Islands;Ukraine;Venezuela",6,151,"10%","remote","GoodFit","Recent funding: $110M Series F (2026-04-23) | Hiring in 6 countries outside HQ | 151 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Slingshot Aerospace","slingshot.space","United States","Aerospace;Analytics;Simulation;Software",202,"Venture - Series UNKNOWN","","2025-10-01","$140M","ATX Venture Partners;Air Force Life Cycle Management Center;C16 Ventures;Dcode Capital;Draper Associates;Gaingels;Horizon Technology Finance;Lockheed Martin Ventures;Sway Ventures;Trinity Capital;United States Space Force;Valor Equity Partners","United States","United States;United Kingdom;India;Argentina;Taiwan",1,93,"90%","remote","GoodFit","Recent funding:  Venture - Series UNKNOWN (2025-10-01) | Hiring in 1 countries outside HQ | 93 open roles (last 3 mo) | 90% remote hiring | Source: GoodFit",,,,,,,
"Slip Robotics","sliprobotics.com","United States","Automotive;Industrial;Industrial Automation;Last Mile Transportation;Logistics;Manufacturing;Robotics",82,"Series B","$28M","2024-12-17","$44M","Catalystrix Ventures;DCVC;EVE Atlas;Hyde Park Venture Partners;Overline;Pathbreaker Ventures;Tech Square Ventures","United States","United States;Argentina;Mexico",1,45,"13%","remote","GoodFit","Recent funding: $28M Series B (2024-12-17) | Hiring in 1 countries outside HQ | 45 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"SpaceBridge","spacebridge.com","Canada","Product Design;Semiconductor;Wireless",74,"Venture - Series UNKNOWN","$21M","2002-07-09","$21M","SGF Tech","Canada","Canada;Russia;United States;Australia;Brazil;Hong Kong;India;Indonesia;Kenya;Portugal;Turkey",,19,"10%","remote","GoodFit","Recent funding: $21M Venture - Series UNKNOWN (2002-07-09) | 19 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Syntiant Corp.","syntiant.com","United States","AI Infrastructure;Artificial Intelligence (AI);Machine Learning;Semiconductor;Sensor",273,"Series D","","2024-12-27","$91M","AXIAL Partners;Alumni Ventures;Amazon Alexa Fund;Applied Ventures;Bosch Ventures;Intel Capital;Khazanah Nasional;M12 - Microsoft's Venture Fund;Millennium Technology Value Partners;Mirae Asset Capital;Renesas Electronics Corporation;Sunstone Management","United States","United States;Malaysia;India;Taiwan;Switzerland;China;South Korea;Austria;Japan;Mexico;Sweden",3,35,"5%","remote;global team","GoodFit","Recent funding:  Series D (2024-12-27) | Hiring in 3 countries outside HQ | 35 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Tenstorrent","tenstorrent.com","Canada","AI Infrastructure;Application Specific Integrated Circuit (ASIC);Artificial Intelligence (AI);Electronics;Machine Learning;Semiconductor",1212,"Series D","$693M","2024-12-02","$1.0B","AFW Partners;Baillie Gifford;Bezos Expeditions;EPIQ Capital Group;Eclipse;Fidelity;Healthcare of Ontario Pension Plan (HOOPP);Hyundai Motor Group;K2 Global;MESH;Plug and Play;Samsung Catalyst Fund;Samsung Securities","Canada;India;Serbia;United States","United States;Canada;Serbia;India;Japan;Taiwan;Poland;Australia;Germany;South Korea;Greece;United Kingdom;Singapore;Switzerland;Cyprus;Spain;Austria;Czechia;France;Hong Kong;Malaysia;United Arab Emirates",5,162,"23%","remote;global team","GoodFit","Recent funding: $693M Series D (2024-12-02) | Hiring in 5 countries outside HQ | 162 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"TetraScience","tetrascience.com","United States","Biotechnology;Data Integration;Data Management;Internet of Things;Life Science;Pharmaceutical;Software",215,"Series B","$80M","2021-04-15","$99M","Alkeon Capital;Digital Science;First Round Capital;Floodgate;Founder Collective;Impetus Capital;Insight Partners;Underscore VC;Waters;Y Combinator","United States","United States;United Kingdom;Austria;Germany;Canada;Switzerland;Denmark;Hungary;India;Ireland;Poland;Brazil;Finland;Japan;Netherlands;Pakistan;Portugal;Romania;Sri Lanka",4,67,"70%","remote","GoodFit","Recent funding: $80M Series B (2021-04-15) | Hiring in 4 countries outside HQ | 67 open roles (last 3 mo) | 70% remote hiring | Source: GoodFit",,,,,,,
"TraceAir Technologies","traceair.net","United States","Analytics;Cloud Computing;Construction;Drones;Software",160,"Series B","$25M","2024-05-29","$37M","ENGEO;Flashpoint;GPS Ventures GmbH;Independent Construction Co;KG Ventures;Liquid 2 Ventures;PeakSpan Capital;XTX Ventures","Armenia;Spain;United States","United States;Spain;Armenia;Kazakhstan;Colombia;Georgia;Germany;Portugal;Serbia;Kyrgyzstan;Peru;Brazil;Cyprus;Finland;Netherlands;Nigeria;North Macedonia;Puerto Rico;Russia;Turkey;United Arab Emirates;United Kingdom;Uzbekistan",,12,"33%","remote","GoodFit","Recent funding: $25M Series B (2024-05-29) | 12 open roles (last 3 mo) | 33% remote hiring | Source: GoodFit",,,,,,,
"bit.bio","bit.bio","United Kingdom","Analytics;Biotechnology;Health Care;Test and Measurement",166,"Series C","$50M","2026-01-09","$80M","ARCH Venture Partners;BlueYard Capital;Jonathan Milner;M&G Investments;Metaplanet;Milky Way Ventures;Puhua Capital;Resilience;Rick Klausner;Tencent;ZAKA VC","United Kingdom","United Kingdom;United States;Austria;India;South Africa;Spain;Switzerland",,,"","","GoodFit","Recent funding: $50M Series C (2026-01-09) | Source: GoodFit",,,,,,,
"care.ai","care.ai","United States","Artificial Intelligence (AI);Health Care;Medical Device;Real Time;Software",63,"Venture - Series UNKNOWN","$27M","2022-11-21","$27M","Crescent Cove Advisors","United States","United States;India;China;Kuwait;Nigeria;Saudi Arabia;United Kingdom",1,4,"","","GoodFit","Recent funding: $27M Venture - Series UNKNOWN (2022-11-21) | Hiring in 1 countries outside HQ | 4 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"d-Matrix","d-matrix.ai","United States","AI Infrastructure;Artificial Intelligence (AI);Cloud Infrastructure;Data Center;Semiconductor",287,"Series C","$275M","2025-11-12","$429M","Bullhound Capital;EDBI;Industry Ventures;M12 - Microsoft's Venture Fund;Mirae Asset;Nautilus Venture Partners;Playground Global;Qatar Investment Authority;SK Hynix;TSVC;Temasek Holdings;Triatomic Capital","United States","United States;India;Canada;Australia;United Kingdom;Brazil;Colombia;Mali;Poland;Portugal;Singapore",3,56,"5%","remote","GoodFit","Recent funding: $275M Series C (2025-11-12) | Hiring in 3 countries outside HQ | 56 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"1GLOBAL","1global.com","Netherlands","Internet;Internet of Things;Mobile;Telecommunications",607,"Venture - Series UNKNOWN","$38M","2020-04-14","$622M","Acton Capital;Emerson Collective;Millhouse;Minden;Vollin Holdings;Wellington Partners","Australia;Brazil;France;Germany;Hong Kong;Ireland;Japan;Netherlands;Philippines;Poland;Portugal;Singapore;Spain;Trinidad And Tobago;United Kingdom;United States","Portugal;Germany;United Kingdom;Philippines;Brazil;Poland;Netherlands;United States;Spain;Hong Kong;Ireland;Jersey;Algeria;Australia;France;Russia;Albania;Belgium;Chile;China;Colombia;Egypt;Finland;India;Morocco;Singapore;Switzerland;Tunisia",1,218,"3%","remote;global team","GoodFit","Recent funding: $38M Venture - Series UNKNOWN (2020-04-14) | Hiring in 1 countries outside HQ | 218 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Analyte Health","analytehealth.com","United States","Health Care;Health Diagnostics;Information Technology;Wellness",75,"Venture - Series UNKNOWN","$27M","2017-09-19","$72M","Apex Venture Partners;DFJ Portage Ventures;Mohr Davidow Ventures;Pritzker Group Venture Capital;Warren Packard","United States","United States;Brazil;Philippines;Argentina;Mexico;Canada;Costa Rica;India",4,11,"","","GoodFit","Recent funding: $27M Venture - Series UNKNOWN (2017-09-19) | Hiring in 4 countries outside HQ | 11 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Arize AI","arize.com","United States","AI Infrastructure;Artificial Intelligence (AI);Information Technology;Machine Learning;Software",192,"Series C","$70M","2025-02-20","$131M","Adams Street Partners;Archerman Capital;Battery Ventures;Datadog;Foundation Capital;M12 - Microsoft's Venture Fund;OMERS Ventures;PagerDuty;SineWave Ventures;Swift Ventures;TCV","United States","United States;India;United Kingdom;Argentina;Canada;Singapore;Brazil;France;Germany;Netherlands;Poland;South Africa;Thailand",2,44,"87%","remote;fully remote;remote company","GoodFit","Recent funding: $70M Series C (2025-02-20) | Hiring in 2 countries outside HQ | 44 open roles (last 3 mo) | 87% remote hiring | Source: GoodFit",,,,,,,
"Armada","armada.ai","United States","Artificial Intelligence (AI);Cloud Computing;Data Center;Software",596,"Series B","$230M","2026-05-19","$469M","8090 Industries;BlackRock;Felicis;Founders Fund;Lux Capital;M12 - Microsoft's Venture Fund;Marlinspike Capital;Mitsui & Co;NightDragon;Overmatch Ventures;Shield Capital;Silent Ventures;Veriten","India;United States","United States;India;United Arab Emirates;Saudi Arabia;Canada;Argentina;Egypt;Singapore;Bahrain;Colombia;Ecuador;Kuwait;Netherlands;Qatar;Venezuela;Azerbaijan;Brazil;Chile;Ireland;Norway;Pakistan;Palestine State;South Korea;Spain;Sri Lanka",5,245,"69%","remote","GoodFit","Recent funding: $230M Series B (2026-05-19) | Hiring in 5 countries outside HQ | 245 open roles (last 3 mo) | 69% remote hiring | Source: GoodFit",,,,,,,
"Armis","armis.com","United States","Compliance;Cyber Security;Information Technology;Internet of Things;Network Security;Risk Management",1292,"Venture - Series UNKNOWN","$435M","2025-11-05","$1.3B","Alkeon Capital;Bain Capital Ventures;Brookfield Growth;CapitalG;Evolution Equity Partners;G Squared;General Catalyst;Georgian;Goldman Sachs Growth Equity;One Equity Partners;Red Dot Capital Partners;Sequoia Capital;Sequoia Capital Israel","Israel;United States","United States;Israel;United Kingdom;India;Costa Rica;Romania;Germany;Canada;France;Australia;Mexico;Netherlands;Italy;Singapore;Ireland;Spain;Denmark;Switzerland;Algeria;Belgium;Japan;Moldova;Nepal;South Africa;Sweden;Brazil;Pakistan;Turkey;Austria;Colombia;Dominican Republic;Iran;Kenya;Lebanon;Poland;Saudi Arabia;Serbia;Ukraine;United Arab Emirates;Venezuela",13,113,"13%","remote","GoodFit","Recent funding: $435M Venture - Series UNKNOWN (2025-11-05) | Hiring in 13 countries outside HQ | 113 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"AssemblyAI","assemblyai.com","United States","Artificial Intelligence (AI);Developer APIs;Foundational AI;Generative AI;Information Technology;Speech Recognition",101,"Series C","$50M","2023-12-03","$158M","Accel;Daniel Gross;Insight Partners;John Collison;Keith Block;Nat Friedman;Smith Point Capital;TechNexus Venture Collaborative;Y Combinator","United States","United States;United Kingdom;India;Canada;Germany;Brazil;France;Switzerland;Australia;Bangladesh;Denmark;Egypt;Lithuania;Nigeria;Poland;Singapore;Spain",1,16,"50%","remote;fully remote","GoodFit","Recent funding: $50M Series C (2023-12-03) | Hiring in 1 countries outside HQ | 16 open roles (last 3 mo) | 50% remote hiring | Source: GoodFit",,,,,,,
"Baseten","baseten.co","United States","AI Infrastructure;Artificial Intelligence (AI);Developer Tools;Machine Learning;Software;Software Engineering",266,"Series E","$300M","2026-02-05","$585M","01 Advisors;Altimeter;BOND;Battery Ventures;Blackbird Ventures;Bond;BoxGroup;CapitalG;Conviction;Greylock;IVP;NVIDIA;South Park Commons;Spark Capital","United States","United States;Canada;United Kingdom;Colombia;Turkey",1,154,"","","GoodFit","Recent funding: $300M Series E (2026-02-05) | Hiring in 1 countries outside HQ | 154 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Blitzy","blitzy.com","United States","Artificial Intelligence (AI);Developer Tools;Enterprise Software;Generative AI;Software",108,"Venture - Series UNKNOWN","$200M","2026-05-05","$209M","Battery Ventures;Defiant;Flybridge;Jump Capital;Liberty Mutual Strategic Ventures;NFX;Northzone;PSG;Picus Capital;Venture Guides","United States","United States;India;Canada;United Kingdom",,28,"","","GoodFit","Recent funding: $200M Venture - Series UNKNOWN (2026-05-05) | 28 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Botpress","botpress.com","Canada","Artificial Intelligence (AI);Computer;Natural Language Processing;PaaS;Software;Virtual Assistant",124,"Series B","$25M","2025-06-23","$40M","Decibel Partners;Deloitte Ventures;Framework Venture Partners;Hike Ventures;HubSpot Ventures;Inovia Capital;Panache Ventures;Real Ventures;overtime.vc","Canada","Canada;United States;India;Brazil;Egypt;Mexico;Netherlands;Poland;United Arab Emirates;Zimbabwe",1,23,"","","GoodFit","Recent funding: $25M Series B (2025-06-23) | Hiring in 1 countries outside HQ | 23 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Causaly","causaly.com","United Kingdom","Artificial Intelligence (AI);Life Science;Pharmaceutical;Semantic Search;Software",130,"Series B","$60M","2023-07-13","$93M","Alex Gorsky;ICONIQ Growth;Index Ventures;Marathon Venture Capital;Olivier Pomel;Pentech Ventures;Visionaries Club","United Kingdom","United Kingdom;Greece;United States;Spain;Germany;Ireland;Japan;Mexico;Netherlands;Portugal;Sweden;Switzerland",2,17,"","","GoodFit","Recent funding: $60M Series B (2023-07-13) | Hiring in 2 countries outside HQ | 17 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Claroty","claroty.com","United States","Cyber Security;Internet of Things;Network Security;Security",855,"Series F","$150M","2026-01-22","$890M","40 North Ventures;Bessemer Venture Partners;Bosch Ventures;Chevron Technology Ventures;Constellation Technology Ventures;Delta-v Capital;Golub Growth;Princeville Capital;Rockwell Automation;SE Ventures;Schneider Electric;SoftBank Vision Fund;Standard Investments;Temasek Holdings","Israel;Singapore;United Kingdom;United States","Israel;United States;United Kingdom;India;Germany;Australia;Brazil;Singapore;Italy;France;Greece;Japan;South Korea;Spain;Canada;Colombia;Mexico;Netherlands;Philippines;South Africa;Switzerland;Taiwan;Argentina;Chile;Denmark;Namibia;Panama;Peru;Puerto Rico;Sweden;Thailand;United Arab Emirates",6,86,"12%","remote;global team","GoodFit","Recent funding: $150M Series F (2026-01-22) | Hiring in 6 countries outside HQ | 86 open roles (last 3 mo) | Source: GoodFit",,,,,,,
