"Company Name","Website","HQ Country","Industry / Market","Employee Count","Last Funding Stage","Last Funding Amount","Last Funding Date","Total Funding","Key Investors","HQ Countries","Team Countries","Intl Hiring (Countries)","Open Jobs (Last 3 Mo)","Remote Hiring %","Hiring Keywords","Data Source","Targeting Rationale (AGS Context)","CHROs","Director + HR","All C-Suite","Update People Search (Find people Table) - 2026-06-03T21:47:33.031Z","Update People Search (Find people Table) - 2026-06-04T14:41:11.370Z","Update People Search (Find people Table) - 2026-06-04T17:32:01.701Z","Update People Search (Find people Table) - 2026-06-05T19:59:24.770Z"
"Weaviate","weaviate.io","Netherlands","AI Infrastructure;Artificial Intelligence (AI);Cloud Computing;Database;Enterprise Software;Generative AI;Open Source;Search Engine",75,"Series B","$50M","2023-04-20","$68M","Battery Ventures;Cortical Ventures;GTMfund;ING Ventures;Index Ventures;New Enterprise Associates;Zetta Venture Partners","Netherlands","United States;Germany;Netherlands;France;Spain;United Kingdom;India;Ireland;Poland;Argentina;Australia;Austria;Brazil;Canada;Croatia;Italy;Lithuania;Portugal;Turkey;United Arab Emirates",,,"","","GoodFit","Recent funding: $50M Series B (2023-04-20) | Source: GoodFit",,,,,,,
"Wefi","wefi.com","United States","Analytics;Mobile;Wireless",48,"Venture - Series UNKNOWN","$10M","2012-01-20","$17M","Lightspeed Venture Partners;Pitango VC;Warner Media","Israel;United States","United States;Israel;India;Germany;Netherlands;South Africa;United Kingdom;Brazil;Greece;Mexico;Norway;Saint Vincent and the Grenadines",3,3,"33%","remote","GoodFit","Recent funding: $10M Venture - Series UNKNOWN (2012-01-20) | Hiring in 3 countries outside HQ | 3 open roles (last 3 mo) | 33% remote hiring | Source: GoodFit",,,,,,,
"Xage Security","xage.com","United States","Blockchain;Cyber Security;Information Technology;Internet of Things;Network Security",112,"Series B","$60M","2023-11-02","$81M","Bossa Invest;Chevron Technology Ventures;City Light Capital;March Capital;Momenta;OurCrowd;Overture VC;Piva Capital;SCF Partners;Saudi Aramco Energy Ventures;Valor Equity Partners","United States","United States;United Arab Emirates;India;United Kingdom;Australia;Canada;Saudi Arabia;Switzerland",2,9,"88%","remote;global team","GoodFit","Recent funding: $60M Series B (2023-11-02) | Hiring in 2 countries outside HQ | 9 open roles (last 3 mo) | 88% remote hiring | Source: GoodFit",,,,,,,
"Zenlayer","zenlayer.com","United States","Cloud Computing;ISP;Information Technology;Optical Communication;Software;Telecommunications",276,"Series C","","2022-01-04","$102M","Anatole;F&G Venture;Forebright Capital;MDI Ventures;NSFOCUS;Prospect Avenue Capital;Volcanics Venture","China;United States","China;United States;India;Singapore;Hong Kong;Indonesia;Vietnam;United Kingdom;Brazil;Thailand;Italy;Malaysia;Mexico;New Zealand;Nigeria;Philippines;Spain;Timor-Leste;United Arab Emirates",4,23,"10%","remote","GoodFit","Recent funding:  Series C (2022-01-04) | Hiring in 4 countries outside HQ | 23 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Zilliz","zilliz.com","United States","AI Infrastructure;Analytics;Artificial Intelligence (AI);Database;Machine Learning;Open Source;SaaS;Software",148,"Series B","$60M","2022-08-24","$113M","5Y Capital;Hillhouse Investment;Morningside Venture Partners;Pavilion Capital;Prosperity7 Ventures;Yunqi Partners","China;United States","China;United States;Singapore;Hong Kong;United Kingdom;Australia;India;Japan;Kenya;Nigeria;Pakistan",3,15,"","","GoodFit","Recent funding: $60M Series B (2022-08-24) | Hiring in 3 countries outside HQ | 15 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"dcbel","dcbel.energy","Canada","Artificial Intelligence (AI);Clean Energy;CleanTech;Electric Vehicle;Energy;Smart Home;Solar",118,"Venture - Series UNKNOWN","","2025-09-03","$145M","Canada Growth Fund Investment Management;Coatue;Fidelity Canada;Idealist Capital;Investissement Quebec;Kevin Mahaffey;Real Ventures;Volvo Cars Tech Fund","Canada","Canada;United States;Spain;France;Georgia;Guadeloupe;India;Singapore;United Kingdom",1,15,"","","GoodFit","Recent funding:  Venture - Series UNKNOWN (2025-09-03) | Hiring in 1 countries outside HQ | 15 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Wayve","","United Kingdom","B2B / robotics / transportation / autonomous & sensor tech",,"SERIES D","$60.0m","2026-04-01","$2.6b","","","",,,"","","Dealroom","Recent funding: $60.0m SERIES D (Apr 2026) | Source: Dealroom",,,,,,,
"ElevenLabs","","United Kingdom","B2B / media / content production",,"SERIES D","$500m","2026-02-01","$781m","","","",,,"","","Dealroom","Recent funding: $500m SERIES D (Feb 2026) | Source: Dealroom",,,,,,,
"Mistral AI","","France","B2B / enterprise software",,"DEBT","$830m","2026-03-01","$2.9b","","","",,,"","","Dealroom","Recent funding: $830m DEBT (Mar 2026) | Source: Dealroom",,,,,,,
"Google DeepMind","","United Kingdom","B2B / enterprise software",,"ACQUISITION","£400m","2014-01-01","$5.0m","","","",,,"","","Dealroom","Recent funding: £400m ACQUISITION (Jan 2014) | Source: Dealroom",,,,,,,
