Ad clicked Date,Ad Title/Id
2024/12/19 19:41:45 UTC,513805306
2025/09/17 23:04:25 UTC,747893984
2024/12/19 19:41:55 UTC,374060454
2025/09/17 23:04:29 UTC,747893984
2025/09/09 16:00:21 UTC,647697194
2026/02/06 00:12:39 UTC,1100110983
2025/09/09 16:00:21 UTC,647697194
2025/07/13 01:01:01 UTC,751607016
2025/04/06 03:48:45 UTC,630500024
2025/07/13 01:01:10 UTC,751607016
2025/04/06 03:48:46 UTC,630500024
2026/03/18 21:59:25 UTC,1370017496
2025/11/13 11:22:43 UTC,895023964
2025/07/07 19:09:24 UTC,145111864
2025/11/13 11:22:50 UTC,895023964
2025/07/07 20:08:01 UTC,427698984
2025/03/16 03:23:57 UTC,578130916
2025/07/07 20:08:01 UTC,427698984
2025/03/15 21:41:58 UTC,578130916
2025/07/07 19:09:00 UTC,145111864
2025/10/11 03:23:34 UTC,746029763
2025/06/27 16:29:57 UTC,427698984
2024/10/01 04:30:50 UTC,507851543
2025/04/08 23:00:13 UTC,641234276
2024/10/01 04:30:50 UTC,507851543
2025/04/08 22:59:50 UTC,625955823
2026/01/22 08:12:07 UTC,1090602934
2025/04/08 22:59:51 UTC,625955823
2026/01/22 08:11:58 UTC,1090602934
2025/04/08 22:59:56 UTC,625955823
2026/01/22 08:12:03 UTC,1090602934
2025/02/22 16:02:41 UTC,145111864
2026/01/22 08:12:07 UTC,1090602934
2025/02/22 16:12:22 UTC,145111864
2025/01/09 08:21:54 UTC,510712374
2025/10/07 13:38:17 UTC,647697194
2025/02/17 21:11:45 UTC,619146926
2025/10/07 13:38:20 UTC,647697194
2025/09/18 15:56:44 UTC,561452174
2026/02/04 01:54:59 UTC,1135095344
2025/10/16 12:51:06 UTC,905463666
2026/02/04 01:55:04 UTC,1135095344
2024/12/07 23:36:58 UTC,339300584
2025/02/22 20:21:18 UTC,622616386
2025/09/03 10:39:36 UTC,575422494
2025/10/07 13:37:56 UTC,647697194
2025/09/03 10:39:46 UTC,575422494
2025/08/03 16:07:02 UTC,449454476
2025/09/03 10:39:46 UTC,575422494
2025/08/03 20:42:06 UTC,631681716
2024/11/03 13:01:36 UTC,461322276
2026/01/15 13:09:30 UTC,647715984
2024/11/03 13:01:40 UTC,461322276
2025/06/11 19:46:21 UTC,561461204
2024/11/03 13:02:30 UTC,461322276
2024/11/11 21:36:50 UTC,449954766
2025/08/13 04:36:51 UTC,797867426
2025/06/11 19:44:23 UTC,561461204
2025/08/13 04:36:57 UTC,797867426
2025/06/11 19:46:20 UTC,561461204
2025/09/28 21:15:30 UTC,875538206
2025/06/11 19:46:58 UTC,561461204
2025/09/28 21:18:14 UTC,875538206
2025/06/11 19:46:59 UTC,561461204
2025/08/07 20:29:22 UTC,746555723
2025/08/29 22:11:11 UTC,647715984
2025/08/08 02:26:04 UTC,743295256
2025/07/03 18:05:08 UTC,627055486
2025/07/29 02:16:35 UTC,712478634
2025/03/10 22:30:04 UTC,611522036
2025/07/29 02:16:55 UTC,712478634
2025/10/16 01:18:35 UTC,716885573
2025/07/29 02:17:07 UTC,712478634
2025/10/16 01:18:36 UTC,716885573
2025/07/29 02:17:20 UTC,712478634
2025/08/17 16:42:55 UTC,754791596
2025/09/16 03:58:38 UTC,145111864
2025/08/17 16:43:12 UTC,754791596
2025/09/16 05:08:49 UTC,688613173
2025/06/15 04:25:05 UTC,715485756
2025/06/15 04:25:12 UTC,715485756
2025/06/15 04:25:13 UTC,715485756
2025/06/15 04:25:42 UTC,715485756
2025/06/15 04:26:21 UTC,715485756
2025/06/15 04:26:38 UTC,715485756
